/opt/conda/lib/python3.7/site-packages/lightgbm/engine.py:151: UserWarning: Found `n_estimators` in params. Will use it instead of argument
  warnings.warn("Found `{}` in params. Will use it instead of argument".format(alias))
[LightGBM] [Info] Number of positive: 28151, number of negative: 102006
[LightGBM] [Warning] Auto-choosing col-wise multi-threading, the overhead of testing was 0.211689 seconds.
You can set `force_col_wise=true` to remove the overhead.
[LightGBM] [Info] Total Bins 25953
[LightGBM] [Info] Number of data points in the train set: 130157, number of used features: 176
/opt/conda/lib/python3.7/site-packages/lightgbm/basic.py:1286: UserWarning: Overriding the parameters from Reference Dataset.
  warnings.warn('Overriding the parameters from Reference Dataset.')
/opt/conda/lib/python3.7/site-packages/lightgbm/basic.py:1098: UserWarning: categorical_column in param dict is overridden.
  warnings.warn('{} in param dict is overridden.'.format(cat_alias))
[LightGBM] [Info] [binary:BoostFromScore]: pavg=0.216285 -> initscore=-1.287449
[LightGBM] [Info] Start training from score -1.287449
[1]	val's auc: 0.819314
[1719]	val's auc: 0.997594
[1720]	val's auc: 0.997597
[1721]	val's auc: 0.997598
[1722]	val's auc: 0.997607
[1723]	val's auc: 0.997613
[1724]	val's auc: 0.997621
[1725]	val's auc: 0.997625
[1726]	val's auc: 0.997628
[1727]	val's auc: 0.997636
[1728]	val's auc: 0.997641
[1729]	val's auc: 0.997644
[1730]	val's auc: 0.99765
[1731]	val's auc: 0.997653
[1732]	val's auc: 0.99766
[1733]	val's auc: 0.997667
[1734]	val's auc: 0.997673
[1735]	val's auc: 0.997682
[1736]	val's auc: 0.997685
[1737]	val's auc: 0.99769
[1738]	val's auc: 0.997694
[1739]	val's auc: 0.997696
[1740]	val's auc: 0.997703
[1741]	val's auc: 0.997706
[1742]	val's auc: 0.997712
[1743]	val's auc: 0.997715
[1744]	val's auc: 0.997717
[1745]	val's auc: 0.997726
[1746]	val's auc: 0.997731
[1747]	val's auc: 0.997732
[1748]	val's auc: 0.997734
[1749]	val's auc: 0.997737
[1750]	val's auc: 0.99774
[1751]	val's auc: 0.997749
[1752]	val's auc: 0.997754
[1753]	val's auc: 0.997756
[1754]	val's auc: 0.997761
[1755]	val's auc: 0.997764
[1756]	val's auc: 0.997768
[1757]	val's auc: 0.997771
[1758]	val's auc: 0.997774
[1759]	val's auc: 0.997776
[1760]	val's auc: 0.997781
[1761]	val's auc: 0.997782
[1762]	val's auc: 0.997787
[1763]	val's auc: 0.997792
[1764]	val's auc: 0.997798
[1765]	val's auc: 0.997802
[1766]	val's auc: 0.997809
[1767]	val's auc: 0.997811
[1768]	val's auc: 0.997819
[1769]	val's auc: 0.997823
[1770]	val's auc: 0.997826
[1771]	val's auc: 0.99783
[1772]	val's auc: 0.997832
[1773]	val's auc: 0.997836
[1774]	val's auc: 0.997841
[1775]	val's auc: 0.997847
[1776]	val's auc: 0.997852
[1777]	val's auc: 0.997858
[1778]	val's auc: 0.997863
[1779]	val's auc: 0.997864
[1780]	val's auc: 0.997869
[1781]	val's auc: 0.997874
[1782]	val's auc: 0.997879
[1783]	val's auc: 0.997883
[1784]	val's auc: 0.997887
[1785]	val's auc: 0.997894
[1786]	val's auc: 0.997899
[1787]	val's auc: 0.9979
[1788]	val's auc: 0.997901
[1789]	val's auc: 0.997904
[1790]	val's auc: 0.99791
[1791]	val's auc: 0.997912
[1792]	val's auc: 0.99792
[1793]	val's auc: 0.997921
[1794]	val's auc: 0.997929
[1795]	val's auc: 0.99793
[1796]	val's auc: 0.997938
[1797]	val's auc: 0.997941
[1798]	val's auc: 0.997946
[1799]	val's auc: 0.997956
[1800]	val's auc: 0.997962
[1801]	val's auc: 0.997967
[1802]	val's auc: 0.99797
[1803]	val's auc: 0.997975
[1804]	val's auc: 0.997978
[1805]	val's auc: 0.99798
[1806]	val's auc: 0.997985
[1807]	val's auc: 0.997987
[1808]	val's auc: 0.997991
[1809]	val's auc: 0.997997
[1810]	val's auc: 0.998
[1811]	val's auc: 0.998003
[1812]	val's auc: 0.998005
[1813]	val's auc: 0.99801
[1814]	val's auc: 0.998019
[1815]	val's auc: 0.998023
[1816]	val's auc: 0.998029
[1817]	val's auc: 0.998037
[1818]	val's auc: 0.998044
[1819]	val's auc: 0.998053
[1820]	val's auc: 0.998057
[1821]	val's auc: 0.99806
[1822]	val's auc: 0.998063
[1823]	val's auc: 0.998069
[1824]	val's auc: 0.998072
[1825]	val's auc: 0.998078
[1826]	val's auc: 0.998083
[1827]	val's auc: 0.998089
[1828]	val's auc: 0.998092
[1829]	val's auc: 0.998092
[1830]	val's auc: 0.998097
[1831]	val's auc: 0.9981
[1832]	val's auc: 0.99811
[1833]	val's auc: 0.998115
[1834]	val's auc: 0.998118
[1835]	val's auc: 0.998119
[1836]	val's auc: 0.998123
[1837]	val's auc: 0.998127
[1838]	val's auc: 0.998132
[1839]	val's auc: 0.998137
[1840]	val's auc: 0.998139
[1841]	val's auc: 0.998144
[1842]	val's auc: 0.998147
[1843]	val's auc: 0.998151
[1844]	val's auc: 0.998154
[1845]	val's auc: 0.998161
[1846]	val's auc: 0.998165
[1847]	val's auc: 0.998169
[1848]	val's auc: 0.998173
[1849]	val's auc: 0.998175
[1850]	val's auc: 0.998179
[1851]	val's auc: 0.998183
[1852]	val's auc: 0.998184
[1853]	val's auc: 0.99819
[1854]	val's auc: 0.998191
[1855]	val's auc: 0.998195
[1856]	val's auc: 0.9982
[1857]	val's auc: 0.998211
[1858]	val's auc: 0.998215
[1859]	val's auc: 0.998219
[1860]	val's auc: 0.99822
[1861]	val's auc: 0.998226
[1862]	val's auc: 0.998231
[1863]	val's auc: 0.998235
[1864]	val's auc: 0.998238
[1865]	val's auc: 0.998245
[1866]	val's auc: 0.998252
[1867]	val's auc: 0.998255
[1868]	val's auc: 0.998262
[1869]	val's auc: 0.998265
[1870]	val's auc: 0.99827
[1871]	val's auc: 0.998272
[1872]	val's auc: 0.99828
[1873]	val's auc: 0.998284
[1874]	val's auc: 0.998286
[1875]	val's auc: 0.99829
[1876]	val's auc: 0.998291
[1877]	val's auc: 0.998292
[1878]	val's auc: 0.998293
[1879]	val's auc: 0.998299
[1880]	val's auc: 0.998306
[1881]	val's auc: 0.998312
[1882]	val's auc: 0.998315
[1883]	val's auc: 0.998318
[1884]	val's auc: 0.998319
[1885]	val's auc: 0.998325
[1886]	val's auc: 0.998328
[1887]	val's auc: 0.998331
[1888]	val's auc: 0.998333
[1889]	val's auc: 0.998338
[1890]	val's auc: 0.998344
[1891]	val's auc: 0.998344
[1892]	val's auc: 0.99835
[1893]	val's auc: 0.998357
[1894]	val's auc: 0.998362
[1895]	val's auc: 0.998364
[1896]	val's auc: 0.99837
[1897]	val's auc: 0.998375
[1898]	val's auc: 0.998379
[1899]	val's auc: 0.998382
[1900]	val's auc: 0.998388
[1901]	val's auc: 0.998393
[1902]	val's auc: 0.998395
[1903]	val's auc: 0.998396
[1904]	val's auc: 0.998398
[1905]	val's auc: 0.998402
[1906]	val's auc: 0.998406
[1907]	val's auc: 0.998412
[1908]	val's auc: 0.998416
[1909]	val's auc: 0.998421
[1910]	val's auc: 0.998425
[1911]	val's auc: 0.998425
[1912]	val's auc: 0.998427
[1913]	val's auc: 0.998437
[1914]	val's auc: 0.998442
[1915]	val's auc: 0.998445
[1916]	val's auc: 0.998447
[1917]	val's auc: 0.998452
[1918]	val's auc: 0.998453
[1919]	val's auc: 0.998455
[1920]	val's auc: 0.998459
[1921]	val's auc: 0.998466
[1922]	val's auc: 0.998473
[1923]	val's auc: 0.998482
[1924]	val's auc: 0.998486
[1925]	val's auc: 0.998488
[1926]	val's auc: 0.99849
[1927]	val's auc: 0.998492
[1928]	val's auc: 0.998499
[1929]	val's auc: 0.998503
[1930]	val's auc: 0.998506
[1931]	val's auc: 0.998508
[1932]	val's auc: 0.998512
[1933]	val's auc: 0.998513
[1934]	val's auc: 0.998515
[1935]	val's auc: 0.998516
[1936]	val's auc: 0.998523
[1937]	val's auc: 0.998528
[1938]	val's auc: 0.99853
[1939]	val's auc: 0.998534
[1940]	val's auc: 0.998539
[1941]	val's auc: 0.998542
[1942]	val's auc: 0.998546
[1943]	val's auc: 0.99855
[1944]	val's auc: 0.998554
[1945]	val's auc: 0.99856
[1946]	val's auc: 0.998562
[1947]	val's auc: 0.998567
[1948]	val's auc: 0.998571
[1949]	val's auc: 0.998574
[1950]	val's auc: 0.998576
[1951]	val's auc: 0.998582
[1952]	val's auc: 0.998583
[1953]	val's auc: 0.998588
[1954]	val's auc: 0.99859
[1955]	val's auc: 0.998593
[1956]	val's auc: 0.998597
[1957]	val's auc: 0.998602
[1958]	val's auc: 0.998602
[1959]	val's auc: 0.998606
[1960]	val's auc: 0.998608
[1961]	val's auc: 0.99861
[1962]	val's auc: 0.998613
[1963]	val's auc: 0.998618
[1964]	val's auc: 0.998619
[1965]	val's auc: 0.998623
[1966]	val's auc: 0.99863
[1967]	val's auc: 0.998633
[1968]	val's auc: 0.998638
[1969]	val's auc: 0.99864
[1970]	val's auc: 0.998647
[1971]	val's auc: 0.998649
[1972]	val's auc: 0.998657
[1973]	val's auc: 0.998663
[1974]	val's auc: 0.998669
[1975]	val's auc: 0.998677
[1976]	val's auc: 0.998681
[1977]	val's auc: 0.998688
[1978]	val's auc: 0.998693
[1979]	val's auc: 0.998696
[1980]	val's auc: 0.998699
[1981]	val's auc: 0.998699
[1982]	val's auc: 0.998701
[1983]	val's auc: 0.998704
[1984]	val's auc: 0.998704
[1985]	val's auc: 0.998705
[1986]	val's auc: 0.998706
[1987]	val's auc: 0.998711
[1988]	val's auc: 0.998718
[1989]	val's auc: 0.99872
[1990]	val's auc: 0.998723
[1991]	val's auc: 0.998723
[1992]	val's auc: 0.998727
[1993]	val's auc: 0.998731
[1994]	val's auc: 0.998732
[1995]	val's auc: 0.998733
[1996]	val's auc: 0.998736
[1997]	val's auc: 0.998738
[1998]	val's auc: 0.998742
[1999]	val's auc: 0.998748
[2000]	val's auc: 0.99875
Did not meet early stopping. Best iteration is:
[2000]	val's auc: 0.99875
0.9987500464065868
