/opt/conda/lib/python3.7/site-packages/lightgbm/engine.py:151: UserWarning: Found `n_estimators` in params. Will use it instead of argument
  warnings.warn("Found `{}` in params. Will use it instead of argument".format(alias))
[LightGBM] [Info] Number of positive: 19698, number of negative: 71411
[LightGBM] [Warning] Auto-choosing row-wise multi-threading, the overhead of testing was 0.036258 seconds.
You can set `force_row_wise=true` to remove the overhead.
And if memory is not enough, you can set `force_col_wise=true`.
[LightGBM] [Info] Total Bins 26083
[LightGBM] [Info] Number of data points in the train set: 91109, number of used features: 178
/opt/conda/lib/python3.7/site-packages/lightgbm/basic.py:1286: UserWarning: Overriding the parameters from Reference Dataset.
  warnings.warn('Overriding the parameters from Reference Dataset.')
/opt/conda/lib/python3.7/site-packages/lightgbm/basic.py:1098: UserWarning: categorical_column in param dict is overridden.
  warnings.warn('{} in param dict is overridden.'.format(cat_alias))
[LightGBM] [Info] [binary:BoostFromScore]: pavg=0.216203 -> initscore=-1.287935
[LightGBM] [Info] Start training from score -1.287935
[291]	auc's auc: 0.863223
[292]	auc's auc: 0.863211
[293]	auc's auc: 0.863229
[294]	auc's auc: 0.863215
[295]	auc's auc: 0.86321
[296]	auc's auc: 0.863206
[297]	auc's auc: 0.863185
[298]	auc's auc: 0.863184
[299]	auc's auc: 0.863186
[300]	auc's auc: 0.863186
[301]	auc's auc: 0.863174
[302]	auc's auc: 0.863165
[303]	auc's auc: 0.863118
[304]	auc's auc: 0.863118
[305]	auc's auc: 0.863118
[306]	auc's auc: 0.863126
[307]	auc's auc: 0.863169
[308]	auc's auc: 0.86318
[309]	auc's auc: 0.863226
[310]	auc's auc: 0.863249
[311]	auc's auc: 0.863266
[312]	auc's auc: 0.863234
[313]	auc's auc: 0.863252
[314]	auc's auc: 0.86325
[315]	auc's auc: 0.863306
[316]	auc's auc: 0.863366
[317]	auc's auc: 0.863361
[318]	auc's auc: 0.863351
[319]	auc's auc: 0.863362
[320]	auc's auc: 0.863342
[321]	auc's auc: 0.863326
[322]	auc's auc: 0.863341
[323]	auc's auc: 0.86334
[324]	auc's auc: 0.863347
[325]	auc's auc: 0.863364
[326]	auc's auc: 0.863376
[327]	auc's auc: 0.863369
[328]	auc's auc: 0.863396
[329]	auc's auc: 0.863372
[330]	auc's auc: 0.863369
[331]	auc's auc: 0.863424
[332]	auc's auc: 0.863441
[333]	auc's auc: 0.863425
[334]	auc's auc: 0.863389
[335]	auc's auc: 0.863368
[336]	auc's auc: 0.86334
[337]	auc's auc: 0.86332
[338]	auc's auc: 0.863366
[339]	auc's auc: 0.863383
[340]	auc's auc: 0.863381
[341]	auc's auc: 0.863352
[342]	auc's auc: 0.863317
[343]	auc's auc: 0.863327
[344]	auc's auc: 0.863304
[345]	auc's auc: 0.86329
[346]	auc's auc: 0.863275
[347]	auc's auc: 0.863298
[348]	auc's auc: 0.863317
[349]	auc's auc: 0.863331
[350]	auc's auc: 0.863315
[351]	auc's auc: 0.863322
[352]	auc's auc: 0.8633
[353]	auc's auc: 0.863317
[354]	auc's auc: 0.863313
[355]	auc's auc: 0.863328
[356]	auc's auc: 0.863328
[357]	auc's auc: 0.863331
[358]	auc's auc: 0.863346
[359]	auc's auc: 0.86334
[360]	auc's auc: 0.863328
[361]	auc's auc: 0.863328
[362]	auc's auc: 0.863376
[363]	auc's auc: 0.863364
[364]	auc's auc: 0.863343
[365]	auc's auc: 0.863355
[366]	auc's auc: 0.863329
[367]	auc's auc: 0.863362
[368]	auc's auc: 0.863385
[369]	auc's auc: 0.86342
[370]	auc's auc: 0.863468
[371]	auc's auc: 0.863475
[372]	auc's auc: 0.863472
[373]	auc's auc: 0.863455
[374]	auc's auc: 0.863432
[375]	auc's auc: 0.863412
[376]	auc's auc: 0.863438
[377]	auc's auc: 0.86341
[378]	auc's auc: 0.863412
[379]	auc's auc: 0.86344
[380]	auc's auc: 0.86341
[381]	auc's auc: 0.863435
[382]	auc's auc: 0.863435
[383]	auc's auc: 0.863441
[384]	auc's auc: 0.863432
[385]	auc's auc: 0.863459
[386]	auc's auc: 0.863474
[387]	auc's auc: 0.863469
[388]	auc's auc: 0.863481
[389]	auc's auc: 0.863489
[390]	auc's auc: 0.863516
[391]	auc's auc: 0.863481
[392]	auc's auc: 0.863498
[393]	auc's auc: 0.863534
[394]	auc's auc: 0.863573
[395]	auc's auc: 0.86355
[396]	auc's auc: 0.863537
[397]	auc's auc: 0.863526
[398]	auc's auc: 0.86353
[399]	auc's auc: 0.863516
[400]	auc's auc: 0.863516
[401]	auc's auc: 0.863534
[402]	auc's auc: 0.863538
[403]	auc's auc: 0.863518
[404]	auc's auc: 0.863498
[405]	auc's auc: 0.86351
[406]	auc's auc: 0.863515
[407]	auc's auc: 0.863517
[408]	auc's auc: 0.863518
[409]	auc's auc: 0.863525
[410]	auc's auc: 0.863488
[411]	auc's auc: 0.863477
[412]	auc's auc: 0.863474
[413]	auc's auc: 0.863474
[414]	auc's auc: 0.863516
[415]	auc's auc: 0.863518
[416]	auc's auc: 0.863491
[417]	auc's auc: 0.863483
[418]	auc's auc: 0.863477
[419]	auc's auc: 0.863485
[420]	auc's auc: 0.863498
[421]	auc's auc: 0.863501
[422]	auc's auc: 0.863498
[423]	auc's auc: 0.863487
[424]	auc's auc: 0.863518
[425]	auc's auc: 0.863539
[426]	auc's auc: 0.863511
[427]	auc's auc: 0.86353
[428]	auc's auc: 0.863537
[429]	auc's auc: 0.863524
[430]	auc's auc: 0.863534
[431]	auc's auc: 0.863527
[432]	auc's auc: 0.863527
[433]	auc's auc: 0.863512
[434]	auc's auc: 0.863534
[435]	auc's auc: 0.863533
[436]	auc's auc: 0.863557
[437]	auc's auc: 0.863553
[438]	auc's auc: 0.863568
[439]	auc's auc: 0.863576
[440]	auc's auc: 0.863612
[441]	auc's auc: 0.863607
[442]	auc's auc: 0.863617
[443]	auc's auc: 0.863605
[444]	auc's auc: 0.86359
[445]	auc's auc: 0.863602
[446]	auc's auc: 0.863594
[447]	auc's auc: 0.863573
[448]	auc's auc: 0.863587
[449]	auc's auc: 0.863651
[450]	auc's auc: 0.863646
[451]	auc's auc: 0.863632
[452]	auc's auc: 0.863632
[453]	auc's auc: 0.863624
[454]	auc's auc: 0.86364
[455]	auc's auc: 0.863663
[456]	auc's auc: 0.863655
[457]	auc's auc: 0.863675
[458]	auc's auc: 0.863685
[459]	auc's auc: 0.863672
[460]	auc's auc: 0.863693
[461]	auc's auc: 0.863689
[462]	auc's auc: 0.863682
[463]	auc's auc: 0.863665
[464]	auc's auc: 0.863675
[465]	auc's auc: 0.863672
[466]	auc's auc: 0.863756
[467]	auc's auc: 0.863752
